use,keyword,pref_label,synonyms,definition,class
y,gender identity,Gender Identity,"('Gender Identity', 'GENIDENT')","(""A person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex."",)",Thesaurus:C158277
,gender identity,Gender Identity,"('Gender Identity', 'GENIDENT')","(""A person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex."",)",Thesaurus:C158277
,gender identity,Gender identity,"('Gender identity (observable entity)',)","(""Gender identity is an individual's personal sense of being a male gender (man, boy), female gender (woman, girl), another gender(s), or no gender, that is not necessarily visible to others and must be declared by the person."",)",http://purl.bioontology.org/ontology/SNOMEDCT/33821000087103
,gene,Gene,"('GENE', 'Gene', 'Genes', 'gene')","('A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.',)",NCIT:C16612
,gene,Gene,"('Gene', 'Genes', 'gene')","('A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.',)",Thesaurus:C16612
,gene,Gene,"('Gene', 'Genes', 'gene')","('A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.',)",Thesaurus:C16612
,gene,Gene,(),"('A functional unit of heredity which occupies a specific position on a particular chromosome and serves as the template for a product that contributes to a phenotype or a biological function.',)",NCIT:C16612
,gene,Genes,"('Cistron', 'Genetic Material', 'Genetic Materials', 'Gene', 'Material, Genetic', 'Materials, Genetic', 'Cistrons')","('A category of nucleic acid sequences that function as units of heredity and which code for the basic instructions for the development, reproduction, and maintenance of organisms.',)",MESH:D005796
y,gene,gene,"('Genes', 'INSDC_feature:gene')","('A region (or regions) that includes all of the sequence elements necessary to encode a functional transcript. A gene may include regulatory regions, transcribed regions and/or other functional sequence regions.', 'This term is mapped to MGED. Do not obsolete without consulting MGED ontology. A gene may be considered as a unit of inheritance.')",SO:0000704
,gene,gene,"('INSDC_feature:gene',)","('A region (or regions) that includes all of the sequence elements necessary to encode a functional transcript. A gene may include regulatory regions, transcribed regions and/or other functional sequence regions.', 'This term is mapped to MGED. Do not obsolete without consulting MGED ontology. A gene may be considered as a unit of inheritance.')",SO:0000704
,gene,gene,"('INSDC_feature:gene',)","('A region (or regions) that includes all of the sequence elements necessary to encode a functional transcript. A gene may include regulatory regions, transcribed regions and/or other functional sequence regions.',)",SO:0000704
,gene,gene,"('genetic element', 'muton', 'exon')","('segment of the genome that codes for a functional product.',)",http://purl.bioontology.org/ontology/CSP/1256-5501
,gene,gene,(),"('A region (or regions) that includes all of the sequence elements necessary to encode a functional transcript. A gene may include regulatory regions, transcribed regions and/or other functional sequence regions.',)",SO:0000704
y,gene id,Gene Identifier,"('Gene Identifier', 'Gene.identifier', 'Gene ID', 'Gene Name')","('A unique gene name within a specific repository, database, or collection.',)",Thesaurus:C48664
,gene id,Gene Identifier,"('Gene Identifier', 'Gene.identifier', 'Gene ID', 'Gene Name')","('A unique gene name within a specific repository, database, or collection.',)",Thesaurus:C48664
,gene name,gene name,(),"('A sequence data which is the name of a gene (typically) assigned by a person and/or according to a naming scheme.',)",GENEPIO:0100599
y,gene name,gene name,(),"('Name of the gene from which the protein is translated.',)",MS:1000934
,genome,Genome,"('Genome', 'Genomic', 'genome')","('The complete genomic content of an organism, and possibly the full DNA sequence of that organism. It is contained in a set of chromosomes in eukaryotes, a single chromosome in bacteria, or a DNA or RNA molecule in viruses.',)",NCIT:C16629
y,genome,Genome,"('Genome', 'Genomic', 'genome')","('The complete genomic content of an organism, and possibly the full DNA sequence of that organism. It is contained in a set of chromosomes in eukaryotes, a single chromosome in bacteria, or a DNA or RNA molecule in viruses.',)",Thesaurus:C16629
,genome,Genome,"('Genome', 'Genomic', 'genome')","('The complete genomic content of an organism, and possibly the full DNA sequence of that organism. It is contained in a set of chromosomes in eukaryotes, a single chromosome in bacteria, or a DNA or RNA molecule in viruses.',)",Thesaurus:C16629
,genome,Genome,"('Genomes',)","('The genetic complement of an organism, including all of its GENES, as represented in its DNA, or in some cases, its RNA.',)",MESH:D016678
,genome,genome,(),"('A genome is the sum of genetic material within a cell or virion.',)",SO:0001026
,genome,genome,(),"('complete gene complement of an organism, contained in a set of chromosomes in eukaryotes, or a single chromosome in bacteria; can also mean the DNA or RNA molecule in viruses.',)",http://purl.bioontology.org/ontology/CSP/1255-6250
,groove,cell surface furrow,"('cell surface groove', 'furrow', 'groove')","('A furrow that may be found on the cell surface. Examples include the cingulum and sulcus found in some dinoflagellates.',)",GO:0097610
,groove,cell surface furrow,"('cell surface groove', 'groove', 'furrow')","('A furrow that may be found on the cell surface. Examples include the cingulum and sulcus found in some dinoflagellates.',)",GO:0097610
,groove,surface groove,"('groove',)","('A furrow or an incomplete tube.', 'Surface groove is modelled as immaterial - see https://github.com/obophenotype/uberon/issues/2667 for discussion')",UBERON:0006846
,group,Group,"('Group', 'Panel')","('Any number of entities (members) considered as a unit.',)",NCIT:C43359
y,group,Group,"('Group', 'Panel')","('Any number of entities (members) considered as a unit.',)",Thesaurus:C43359
,group,Group,"('Group', 'Panel')","('Any number of entities (members) considered as a unit.',)",Thesaurus:C43359
,group,group,"('Gruppe', 'Rest', 'groupe', 'grupo', 'grupos', 'group')","('A defined linked collection of atoms or a single atom within a molecular entity.',)",CHEBI:24433
,group,group,"('Gruppe', 'groupe', 'grupos', 'Rest', 'grupo', 'group')","('A defined linked collection of atoms or a single atom within a molecular entity.',)",CHEBI:24433
,group,group,(),"('A group is a an aggregate of people. [Allotrope]',)",http://purl.allotrope.org/ontologies/material#AFM:0001084
,group,obsolete_collection (of entities of organismal origin),"('ensemble', 'group', 'set')","('a collection is a bfo:aggregate object, that is a set of material object of the same kind',)",OBI:0302714
y,gisaid_id,GISAID Accession ID,(),"('The unique and permanent identifier for a virus, beginning with the letters EPI and followed by numbers, as proposed and maintained by GISAID.')",Thesaurus:C180324
,height,Height,"('HEIGHT', 'Height')","('The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension.',)",NCIT:C25347
y,height,Height,"('HEIGHT', 'Height')","('The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension.',)",Thesaurus:C25347
,height,Height,"('HEIGHT', 'Height')","('The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension.',)",Thesaurus:C25347
,height,Height,(),"('Height',)",http://semanticscience.org/resource/Height
,height,height,(),"(""A 1-D extent quality inhering in a bearer by virtue of the bearer's vertical dimension of extension."",)",PATO:0000119
,height,height,(),"(""Height is a quality quantification facet that quantifies the bearer's vertical dimension of extension. [Allotrope]"",)",http://purl.allotrope.org/ontologies/result#AFR:0002692
,height,height,(),"('&lt;ncicp:ComplexDefinition&gt;&lt;ncicp:def-definition&gt;A 1-D extent quality which is equal to the vertical dimension of extension.&lt;/ncicp:def-definition&gt;&lt;/ncicp:ComplexDefinition&gt;',)",http://purl.org/obo/owl/PATO#PATO:0000119
,height,height,(),"('This term is for curator easiness - denote vertical length - we might consider obsoleting this but we have to consider how curators are going to represent them if we do.',)",http://purl.org/obo/owl/PATO#PATO:0000119
,high,Euphoric mood,"('mood euphoric', 'High', 'emotionally high', 'Euphoria', 'Feeling high', 'Euphoric')","('An exaggerated feeling of physical and emotional well-being not consonant with apparent stimuli or events; usually of psychologic origin, but also seen in organic brain disease and toxic states. (source : MSH)',)",http://doe-generated-ontology.com/OntoAD#C0235146
y,high,High,"('High', 'High-level', 'Higher', 'Highly')","('An elevated level or position or degree; greater than normal in degree or intensity or amount.',)",Thesaurus:C25227
,high,High,"('High', 'High-level', 'Higher', 'Highly')","('An elevated level or position or degree; greater than normal in degree or intensity or amount.',)",Thesaurus:C25227
,high,High,"('High', 'Higher', 'Highly')","('An elevated level or position or degree; greater than normal in degree or intensity or amount.',)",NCIT:C25227
,high,High,(),"('Total Score 10-12', 'Any one of the following 2 criteria: - Vigorous-intensity activity on at least 3 days and accumulating at least 1500 MET-minutes/week OR - 7 or more days of any combination of walking, moderate- or vigorous-intensity activities accumulating at least 3000 MET-minutes/week', 'Disease activity score: 45 to 100')",http://purl.bioontology.org/ontology/LNC/LA9193-9
,hold,DNA polymerase III subunit psi,"('holD',)","('A protein that is a translation product of the holD gene or a 1:1 ortholog thereof.', 'Category=gene. Flag=automatic.')",PR:000022919
,hold,Hold,"('Hold',)","('Contain; have within.',)",Thesaurus:C62290
,hold,Hold,"('Hold',)","('Contain; have within.',)",Thesaurus:C62290
,hold,dextromethorphan hydrobromide,"('Robitussin Cold & Cough', 'Sudafed Severe Cold Formula', 'Bayer Select Flu Relief', 'Contac Severe Cold Formula Maximum Strength', 'Contac Day & Night Cold/Flu Day Caplets', 'Contac Severe Cold Formula Non-Drowsy', 'Robitussin Pediatric Cough & Cold', 'Tussi-Organidin', '3-methoxy-17-methyl-9alpha,13alpha,14alpha-morphinan hydrobromide monohydrate', ""Tylenol Children's Cough Cold Chewable Tablets"", 'Robitussin DM', 'Robitussin Night Relief', 'Drixoral Cough & Sore Throat', 'Tylenol Cough Liquid', 'Drixoral Cough', 'St. Joseph Cough Syrup', 'Dimetapp DM', 'Bayer Select Head & Chest Cold', 'Robitussin Pediatric Cough', 'Endotussin-NN Pediatric', 'Robitussin CF', 'Contac Nighttime Cold Medicine', '3-methoxy-17-methyl-morphinane; hydrobromide', 'Coricidin Syrup', 'Ornex Severe Cold Formula', 'Ru-Tuss Expectorant', 'Contac Cough & Sore Throat Formula', 'Endotussin-NN', 'Drixoral Cough & Congestion', 'Sudafed Cold and Cough', 'Tylenol Cold and Flu No Drowsiness', 'Robitussin Maximum Strength Cough', 'Tussi-Organidin DM NR', 'Bayer Select Night Time Cold', 'Robitussin Maximum Strength Cough & Cold', 'Robitussin Cough Calmers', 'Tylenol Flu No Drowsiness Gelcaps', 'Tussi-Organidin DM-S NR', 'Robitussin Pediatric Night Relief', 'Chloraseptic DM', 'Contac Jr. Non-drowsy Formula', 'Tylenol Cold No Drowsiness', 'Tylenol Cold and Flu Multi-Symptom', 'PediaCare 1', 'Contac Cough Formula', 'Sudafed Cough Syrup', 'PediaCare Cough-Cold Formula', 'Naldecon-DX', 'Benylin DM', 'Cerose-DM', 'Cough-X', 'Dimacol', 'Hold', 'Methorate', 'Orthoxicol', 'Romilar', 'Rondec DM', 'Triaminic', 'Trind-DM', 'Tussar DM', 'Viro-Med', 'dextromethorphan hydrobromide', '3-methoxy-17-methyl-9alpha,13alpha,14alpha-morphinan hydrobromide hydrate')","('The hydrobromide and monohydrate of the antitussive drug dextromethorphan.',)",CHEBI:4471
,hold,hold command,"('hold',)","('A hold command is a process command that orders the procedural element to execute the holding logic. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0001630
,hook,bar,"('longshore bar', 'cuspate spit', 'barrier beach', 'recurved spit', 'offshore bar', 'transverse bar', 'hooked spit', 'shoal patches', 'undersea shoal', 'barrier island', 'tongue (seafloor)', 'Shoal', 'ball', 'bank', 'hook', 'marsh bar', 'point', 'sand bank', 'sand bar', 'sand hom', 'sand lobe', 'sand spit', 'sandbar', 'shoal', 'shoals', 'spit', 'tongue', 'seafloor feature')","('A linear shoaling landform feature within a body of water. Bars tend to be long and narrow (linear) and develop where a current (or waves) promote deposition of granular material, resulting in localized shallowing (shoaling) of the water. Bars can appear in the sea, in a lake, or in a river. They are typically composed of sand, although could be of any granular matter that the moving water has access to and is capable of shifting around (for example, soil, silt, gravel, cobble, shingle, or even boulders). The grain size of the material comprising a bar is related: to the size of the waves or the strength of the currents moving the material, but the availability of material to be worked by waves and currents is also important.',)",ENVO:00000167
,host,Host,"('Host',)","('An organism that nourishes and supports another but does not benefit by the association; recipient of transplanted tissue or organ from a donor.',)",NCIT:C66819
y,host,Host,"('Host',)","('An organism that nourishes and supports another but does not benefit by the association; recipient of transplanted tissue or organ from a donor.',)",Thesaurus:C66819
,host,Host,"('Host',)","('An organism that nourishes and supports another but does not benefit by the association; recipient of transplanted tissue or organ from a donor.',)",Thesaurus:C66819
,host,Host,(),"('An organism that nourishes and supports another but does not benefit by the association; recipient of transplanted tissue or organ from a donor.',)",NCIT:C66819
,host,host,"('host organism',)","('Any organism in which another organism, especially a parasite or symbiont, spends part or all of its life cycle and from which it obtains nourishment and/or protection.',)",GO:0018995
,host organism,host,"('host organism',)","('Any organism in which another organism, especially a parasite or symbiont, spends part or all of its life cycle and from which it obtains nourishment and/or protection.',)",GO:0018995
y,host organism,host cellular component,"('host organism',)","('Any cellular component of a host cell. The host is an organism in which another organism, for instance a parasite or symbiont, spends part or all of its life cycle and from which it obtains nourishment and/or protection.',)",GO:0018995
,humidity,Humidity,"('Humidities',)","('A measure of the amount of WATER VAPOR in the air.',)",MESH:D006813
y,humidity,Humidity,"('Humidity',)","('A measure of the water vapor content of air.',)",Thesaurus:C88206
,humidity,Humidity,"('Humidity',)","('A measure of the water vapor content of air.',)",Thesaurus:C88206
,humidity,humidity,(),"(""A quality inhering in air by virtue of the partial pressure exerted by the bearer's water vapour content."",)",PATO:0015009
,humidity,humidity,(),"('1. Generally, some measure of the water vapor content of air. The multiplicity of humidity measures is partly due to different methods of measurement and partly because the conservative measures (mixing ratio, specific humidity) cover an extremely wide dynamic range, as a result of the rapid variation of saturation vapor pressure with temperature. 2. Popularly, same as relative humidity.',)",http://sweetontology.net/propFraction/Humidity
,humidity,humidity,(),"('A humidity (datum) is a quantity facet that quantifies some humidity. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0002595
,humidity,humidity,(),"('The amount of water vapor in the air. Water vapor is the gaseous state of water and is invisible',)",http://vocabs.lter-europe.net/EnvThes/21578
,humidity,humidity,(),"('dampness, due to air containing or characterized by a high amount of water or water vapor.',)",http://purl.bioontology.org/ontology/CSP/1035-6652
y,id,Identifier,(),"('One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.')",Thesaurus:C25364
,identified,Identification,"('Identification', 'Identified')","('The procedure of having an identity established.',)",NCIT:C25737
y,identified,Identification,"('Identification', 'Identified')","('The procedure of having an identity established.',)",Thesaurus:C25737
,identified,Identification,"('Identification', 'Identified')","('The procedure of having an identity established.',)",Thesaurus:C25737
y,identity,Identity,"('Identity',)","(""The set of characteristics by which a thing or person is recognized or known and that constitutes it's individuality or set inclusion."",)",Thesaurus:C68806
,identity,Identity,"('Identity',)","(""The set of characteristics by which a thing or person is recognized or known and that constitutes it's individuality or set inclusion."",)",Thesaurus:C68806
,identity,identity,(),"('aggregate of characteristics by which an individual is recognized by himself and others.',)",http://purl.bioontology.org/ontology/CSP/2483-3813
,immobilization,Immobilization,"('Experimental Hypokinesias', 'Hypokinesia, Experimental', 'Hypokinesias, Experimental', 'Experimental Hypokinesia')","('The restriction of the MOVEMENT of whole or part of the body by physical means (RESTRAINT, PHYSICAL) or chemically by ANALGESIA, or the use of TRANQUILIZING AGENTS or NEUROMUSCULAR NONDEPOLARIZING AGENTS. It includes experimental protocols used to evaluate the physiologic effects of immobility.',)",MESH:D007103
,immobilization,Immobilization,"('Immobilization Technique', 'Immobilization')","(""The application of a restraint to restrict normal movement of an individual's body, limb, or joint."",)",Thesaurus:C142778
,immobilization,Immobilization,"('Immobilization Technique', 'Immobilization')","(""The application of a restraint to restrict normal movement of an individual's body, limb, or joint."",)",Thesaurus:C142778
y,inactivation,Inactivation,"('Inactivation', 'Inactivate')","('To cause the elimination of an activity.',)",Thesaurus:C175900
,inactivation,Inactivation,"('Inactivation', 'Inactivate')","('To cause the elimination of an activity.',)",Thesaurus:C175900
,inchi,InChI,(),"('Chemical structure specified in IUPAC International Chemical Identifier (InChI) line notation.',)",http://edamontology.org/format:1197
,inchi,InChI,(),"('IUPAC International Chemical Identifier.',)",MS:1003403
y,inchi,International Chemical Identifier,"('InChI File (small molecule)', 'International Chemical Identifier', 'InCHi', 'InChI')","('A textual identifier for chemical substances designed to provide a standard and human-readable way to encode molecular information that also facilitates searches in printed and electronic data sources.',)",Thesaurus:C54683
,inchi,International Chemical Identifier,"('InChI File (small molecule)', 'International Chemical Identifier', 'InCHi', 'InChI')","('A textual identifier for chemical substances designed to provide a standard and human-readable way to encode molecular information that also facilitates searches in printed and electronic data sources.',)",Thesaurus:C54683
y,inchikey,InChIKey,(),"('Unique chemical structure identifier for chemical compounds.',)",MS:1002894
y,inchi key,InChIKey,(),"('Unique chemical structure identifier for chemical compounds.',)",MS:1002894
,incubation,Incubation,"('',)","('the process of thinking about a problem subconsciously while being involved in other activities',)",http://www.cognitiveatlas.org/ontology/cogat.owl#CAO:00341
,incubation,Incubation,(),"('the process of thinking about a problem subconsciously while being involved in other activities',)",http://www.cognitiveatlas.org/ontology/cogat.owl#CAO:00330
,incubation,prenatal development,"('gestation', 'incubation')","('The duration of the development from fertilized, deposited or implanted egg to hatching/birth. Corresponds to egg incubation duration in oviparous animals and to gestation period duration in viviparous animals.',)",ECOCORE:00000026
y,indication,Indication,"('Indication for Use', 'INDC', 'Indication', 'indication')","('A sign, signal, circumstance, or symptom which serves to indicate or point out the cause, pathology, treatment, or issue of an attack of disease; the basis for initiation of a treatment for a disease or of a diagnostic test (causal, or symptomatic, or disease-specific indication).',)",Thesaurus:C41184
,indication,Indication,"('Indication for Use', 'INDC', 'Indication', 'indication')","('A sign, signal, circumstance, or symptom which serves to indicate or point out the cause, pathology, treatment, or issue of an attack of disease; the basis for initiation of a treatment for a disease or of a diagnostic test (causal, or symptomatic, or disease-specific indication).',)",Thesaurus:C41184
y,industrial,Industry,"('Industrial', 'Industry')","('The people or companies engaged in a particular kind of commercial enterprise; the organized action of making of goods and services for sale.',)",Thesaurus:C25181
,industrial,Industry,"('Industrial', 'Industry')","('The people or companies engaged in a particular kind of commercial enterprise; the organized action of making of goods and services for sale.',)",Thesaurus:C25181
y,influent,influent,(),('influent'),http://purl.jp/bio/11/meo/MEO_0001146
,inhibition,Cholinesterases,"('inhibition', 'Acylcholine acylhydrolase', 'cholinesterase', 'Acylcholineacylhydrolase', 'choline esterase II')","('enzyme of the hydrolase class that catalyzes the cleavage of the acyl group from various esters of choline, including acetylcholine, and some related compounds the enzyme occurs primarily in the serum, liver, and pancreas determination of enzyme activity is used to test liver function, succinylcholine sensitivity, and whether organophosphate insecticide poisoning has occurred. (source : CSP)',)",http://doe-generated-ontology.com/OntoAD#C0008429
,inhibition,Inhibition,"('',)","('The process by which a response or thought is suppressed.',)",http://www.cognitiveatlas.org/ontology/cogat.owl#CAO:00347
y,inhibition,Inhibition,"('Response Inhibition', 'Inhibiting', 'Inhibition', 'Inhibitory')","('The interference with or prevention of an action or response even though the stimulus for that action or response is present.',)",Thesaurus:C42791
,inhibition,Inhibition,"('Response Inhibition', 'Inhibiting', 'Inhibition', 'Inhibitory')","('The interference with or prevention of an action or response even though the stimulus for that action or response is present.',)",Thesaurus:C42791
,injection,Injection,"('Injection (procedure)',)","('Administration using positive pressure and a needle or other equipment to drive a substance into the body', 'Administration using positive pressure and a needle or other equipment to drive a substance into the body.')",http://purl.bioontology.org/ontology/SNOMEDCT/59108006
,injection,Injection Dosing Unit,"('Injection Dosing Unit', 'Injection')","('A dosing unit equal to the amount of active ingredient(s) contained in an injection.',)",Thesaurus:C122632
,injection,Injection Dosing Unit,"('Injection Dosing Unit', 'Injection')","('A dosing unit equal to the amount of active ingredient(s) contained in an injection.',)",Thesaurus:C122632
,injection,Injections,"('Injectable', 'Injectables', 'Injection')","('Introduction of substances into the body using a needle and syringe.',)",MESH:D007267
,injection,injection,"('injections',)","('Administration of a drug into a location within the body; this can be achieved either through an established access or via a needle.\nNCI Thesaurus',)",http://scai.fraunhofer.de/HuPSON#SCAIVPH:00000299
,injection,injection,(),"('injection is process which aims at introducing a compound or a mixture into a material entity (either biological entity or instrument) by relying on devices such as syringe or injector connection, attached or forced into a vascular system (veins of an organism or tubes of a machine) or in a tissue.',)",OBI:0000426
y,injection,injection (chromatography),"('sample introduction', 'injection')","('Process of loading a sample into a chromatography system. [Allotrope]',)",http://purl.allotrope.org/ontologies/process#AFP:0001611
,inner,Inner,"('INNER', 'Inner')","('Inside or closer to the inside of the body or object.',)",Thesaurus:C37980
y,inner,Inner,"('INNER', 'Inner')","('Inside or closer to the inside of the body or object.',)",Thesaurus:C37980
y,inner diameter,Inner Diameter,"('Lumen Diameter', 'Inner/Lumen Diameter', 'Inner Diameter')","('The length of a straight line passing through the center of the inner open space of a circular or spheroid object that connects two points on the circumference.',)",Thesaurus:C101685
,inner diameter,Inner Diameter,"('Lumen Diameter', 'Inner/Lumen Diameter', 'Inner Diameter')","('The length of a straight line passing through the center of the inner open space of a circular or spheroid object that connects two points on the circumference.',)",Thesaurus:C101685
,inner diameter,inner diameter,"('inner diameter (datum)',)","('Inner diameter is the diameter quantified at the inside. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0002108
y,input,Input,"('Input',)","('Anything added into a sytem.',)",Thesaurus:C47905
,input,Input,"('Input',)","('Anything added into a sytem.',)",Thesaurus:C47905
,input,input role,"('input',)","('A general role if its bearer is the input of the process that realizes the role. The bearer exists at the beginning of the process but not necessarily at its end. [Allotrope]',)",http://purl.allotrope.org/ontologies/role#AFRL:0000008
,institution,Health care facility,"('medical facility', 'Healthcare facility', 'HealthcareFacility', 'Institution', 'treatment facility', 'Health Facilities')","('Institutions which provide medical or health-related services. (source : MSH)',)",http://doe-generated-ontology.com/OntoAD#C0018704
,institution,Healthcare Facility,"('HealthcareFacility', 'HEALTH FACILITY', 'Institution', 'Health Care Facility', 'institution (medical)', 'Healthcare Facility')","('The buildings and organizations where healthcare services are provided.',)",NCIT:C21541
y,institution,Institution,"('registering institution', 'Institution', 'INSTITUTION', 'registering_institution', 'Institutional', 'Institute')","('An established society, corporation, foundation or other organization founded and united for a specific purpose, e.g. for health-related research; also used to refer to a building or buildings occupied or used by such organization.',)",Thesaurus:C41206
,institution,Institution,"('registering institution', 'Institution', 'INSTITUTION', 'registering_institution', 'Institutional', 'Institute')","('An established society, corporation, foundation or other organization founded and united for a specific purpose, e.g. for health-related research; also used to refer to a building or buildings occupied or used by such organization.',)",Thesaurus:C41206
y,instrument,Instrument,(),"('A device or mechanism that is used to achire attribute values of entities of interest.  An instrument does not necessarily require a way to store its measured quantity (e.g, a hard disk).',)",http://hadatac.org/ont/vstoi#Instrument
,instrument,Instrument,(),"('A device used to capture images.',)",https://w3id.org/reproduceme#Instrument
,instrument,Instrument,(),"('Any entity used to perform a measurement, e.g., a microscope, a test battery',)",http://uri.neuinfo.org/nif/nifstd/birnlex:11035
,instrument,Patient-Reported Survey Instrument,"('Patient-Reported Survey Instrument', 'instrument')","('A document or collection or documents that contain a patient-reported survey (e.g., questionnaire) in addition to the information and instructions that document how to use the survey.',)",Thesaurus:C142631
,instrument,Patient-Reported Survey Instrument,"('Patient-Reported Survey Instrument', 'instrument')","('A document or collection or documents that contain a patient-reported survey (e.g., questionnaire) in addition to the information and instructions that document how to use the survey.',)",Thesaurus:C142631
,instrument,instrument,"('instrument configuration',)","('Description of the instrument or the mass spectrometer.',)",MS:1000463
,instrument,measurement device,"('measuring sensor', 'measuring apparatus', 'measuring instrument', 'analyzer', 'instrument')","('A device that measures some aspect of reality, such as a quality or the profile of a process. [Allotrope]',)",http://purl.allotrope.org/ontologies/equipment#AFE:0002145
,intensity,Intensity,"('Intense', 'Intensity')","('The degree or magnitude of strength, energy, or feeling.',)",Thesaurus:C25539
,intensity,Intensity,"('Intense', 'Intensity')","('The degree or magnitude of strength, energy, or feeling.',)",Thesaurus:C25539
,intensity,intensity,(),"(""A quality inhering in a bearer by virtue of the bearer's possessing or displaying a distinctive feature in type or degree or effect or force."",)",PATO:0000049
y,intensity,intensity,(),"('An intensity (datum) is an quality quantification facet that quantifies the magnitude of a signal. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0002537
,intensity,intensity,(),"('[SIO] intensity is a quality that represents the strength or degree of something.',)",http://vocabs.lter-europe.net/EnvThes/10353
,interface,Application Program Interface,"('Application Program Interface', 'Application Programming Interface', 'Software Interface', 'API', 'Interface')","('A set of protocols designed to provide communication between a software application and a computer operating system or between applications.',)",Thesaurus:C75301
,interface,Application Program Interface,"('Application Program Interface', 'Application Programming Interface', 'Software Interface', 'API', 'Interface')","('A set of protocols designed to provide communication between a software application and a computer operating system or between applications.',)",Thesaurus:C75301
y,internal,Internal,"('Internal (qualifier value)', 'Internal', 'Internally', 'Intramural')","('Happening or arising or located within some limits, or especially, within some surface.',)",Thesaurus:C25234
,internal,Internal,"('Internal (qualifier value)', 'Internal', 'Internally', 'Intramural')","('Happening or arising or located within some limits, or especially, within some surface.',)",Thesaurus:C25234
,internal,Internal,(),"('<p>Code system is created and maintained by HL7</p>',)",http://purl.bioontology.org/ontology/HL7/C1553872
y,invalid,Invalid File,"('Invalid File', 'invalid')","('An indication that a file has invalid data or is in an invalid format and cannot be submitted to a data repository.',)",Thesaurus:C172867
,invalid,Invalid File,"('Invalid File', 'invalid')","('An indication that a file has invalid data or is in an invalid format and cannot be submitted to a data repository.',)",Thesaurus:C172867
,ionization,Ionization,"('Ionization',)","('Any process by which a neutral atom gains or loses electrons, thus acquiring a net charge, as the dissociation of a substance in solution into ions or ion production by the passage of radioactive particles.',)",Thesaurus:C48059
,ionization,Ionization,"('Ionization',)","('Any process by which a neutral atom gains or loses electrons, thus acquiring a net charge, as the dissociation of a substance in solution into ions or ion production by the passage of radioactive particles.',)",Thesaurus:C48059
,ionization,ionization,"('ionization method',)","('Ionization is a converting chemical reaction by which an atom or a molecule acquires a negative or positive charge by gaining or losing electrons, often in conjunction with other chemical changes. [Wikipedia]',)",http://purl.allotrope.org/ontologies/process#AFP:0001993
y,ionization,ionization,(),"('process of adding or removing an electron from an atom or molecule to give a net charge.',)",http://purl.bioontology.org/ontology/CSP/1625-5767
,ionization energy,ionization energy,"('IE',)","('OBSOLETE The minimum energy required to remove an electron from an atom or molecule to produce a positive ion.', 'This child of the former purgatory term ion attribute was made obsolete.')",MS:1000219
y,ionization energy,ionization energy,(),"('potential energy that binds an electron to its atom or molecule.',)",ENVO:2000024
y,ionization type,ionization type,(),"('The method by which gas phase ions are generated from the sample.',)",MS:1000008
,isolate,Isolate,"('Microbial Isolate', 'ISOLATE', 'Isolate')","('A specific individual microbe and its genetically identical progeny separated on a single occasion from a sample taken from a host or culture system.',)",NCIT:C53471
y,isolate,Isolate,"('Microbial Isolate', 'ISOLATE', 'Isolate')","('A specific individual microbe and its genetically identical progeny separated on a single occasion from a sample taken from a host or culture system.',)",Thesaurus:C53471
,isolate,Isolate,"('Microbial Isolate', 'ISOLATE', 'Isolate')","('A specific individual microbe and its genetically identical progeny separated on a single occasion from a sample taken from a host or culture system.',)",Thesaurus:C53471
y,isotype,Antibody Isotype,"('Antibody Isotype', 'Immunoglobulin Isotype', 'Isotype')","('The genetic or structural type for the constant region of an antibody.',)",Thesaurus:C73483
,isotype,Antibody Isotype,"('Antibody Isotype', 'Immunoglobulin Isotype', 'Isotype')","('The genetic or structural type for the constant region of an antibody.',)",Thesaurus:C73483
y,jurisdiction,Jurisdiction,"('Jurisdiction',)","('The territory within which power can be exercised.',)",Thesaurus:C79890
y,kd,Kd,(),('The equilibrium dissociation co'),MI:0646
,jurisdiction,Jurisdiction,"('Jurisdiction',)","('The territory within which power can be exercised.',)",Thesaurus:C79890
,key,Key,"('Key',)","('A value used to identify a record in a database.',)",NCIT:C46002
y,key,Key,"('Key',)","('A value used to identify a record in a database.',)",Thesaurus:C46002
,key,Key,"('Key',)","('A value used to identify a record in a database.',)",Thesaurus:C46002
,key,Key,(),"('<p>**Description:**This item is part of the identifying information for this object.</p>',)",http://purl.bioontology.org/ontology/HL7/C1554080
,key,island,"('cay', 'eyot', 'holm', 'hummock', 'isle', 'islet', 'key')","('Area of dry or relatively dry land surrounded by water or low wetland.',)",ENVO:00000098
